Rank,Algorithm,Mean Time (s),Std Dev (s)
Tim Sort,1,0.0013414748013019,0.00010308554158243132
Quick Sort,2,0.007940666525003767,0.00019561759590788807
Merge Sort,3,0.0094439067621715,0.00056875670193378
Radix Sort,4,0.01104780830792145,0.0008074027948284
Insertion Sort,5,0.012310775188961951,0.0007316103428813433
Heap Sort,6,0.022481883293948998,0.00074485470128945
Selection Sort,7,0.0248831415898166,0.0013759359879382
Bubble Sort,8,0.033483570802491126,0.0015012131367501287
Counting Sort,9,0.1853951247991062,0.0050840625228319
